route_id,agency_id,route_short_name,route_long_name,route_type
R001,GCTSL,1,Route 001 - Ghaziabad Corridor,3
R002,GCTSL,2,Route 002 - Ghaziabad Corridor,3
R003,GCTSL,3,Route 003 - Ghaziabad Corridor,3
R004,GCTSL,4,Route 004 - Ghaziabad Corridor,3
R005,GCTSL,5,Route 005 - Ghaziabad Corridor,3
R006,GCTSL,6,Route 006 - Ghaziabad Corridor,3
R007,GCTSL,7,Route 007 - Ghaziabad Corridor,3
R008,GCTSL,8,Route 008 - Ghaziabad Corridor,3
R009,GCTSL,9,Route 009 - Ghaziabad Corridor,3
R010,GCTSL,10,Route 010 - Ghaziabad Corridor,3
R011,GCTSL,11,Route 011 - Ghaziabad Corridor,3
R012,GCTSL,12,Route 012 - Ghaziabad Corridor,3
R013,GCTSL,13,Route 013 - Ghaziabad Corridor,3
R014,GCTSL,14,Route 014 - Ghaziabad Corridor,3
R015,GCTSL,15,Route 015 - Ghaziabad Corridor,3
R016,GCTSL,16,Route 016 - Ghaziabad Corridor,3
R017,GCTSL,17,Route 017 - Ghaziabad Corridor,3
R018,GCTSL,18,Route 018 - Ghaziabad Corridor,3
R019,GCTSL,19,Route 019 - Ghaziabad Corridor,3
R020,GCTSL,20,Route 020 - Ghaziabad Corridor,3
R021,GCTSL,21,Route 021 - Ghaziabad Corridor,3
R022,GCTSL,22,Route 022 - Ghaziabad Corridor,3
R023,GCTSL,23,Route 023 - Ghaziabad Corridor,3
R024,GCTSL,24,Route 024 - Ghaziabad Corridor,3
R025,GCTSL,25,Route 025 - Ghaziabad Corridor,3
R026,GCTSL,26,Route 026 - Ghaziabad Corridor,3
R027,GCTSL,27,Route 027 - Ghaziabad Corridor,3
R028,GCTSL,28,Route 028 - Ghaziabad Corridor,3
R029,GCTSL,29,Route 029 - Ghaziabad Corridor,3
R030,GCTSL,30,Route 030 - Ghaziabad Corridor,3
R031,GCTSL,31,Route 031 - Ghaziabad Corridor,3
R032,GCTSL,32,Route 032 - Ghaziabad Corridor,3
R033,GCTSL,33,Route 033 - Ghaziabad Corridor,3
R034,GCTSL,34,Route 034 - Ghaziabad Corridor,3
R035,GCTSL,35,Route 035 - Ghaziabad Corridor,3
R036,GCTSL,36,Route 036 - Ghaziabad Corridor,3
R037,GCTSL,37,Route 037 - Ghaziabad Corridor,3
R038,GCTSL,38,Route 038 - Ghaziabad Corridor,3
R039,GCTSL,39,Route 039 - Ghaziabad Corridor,3
R040,GCTSL,40,Route 040 - Ghaziabad Corridor,3
R041,GCTSL,41,Route 041 - Ghaziabad Corridor,3
R042,GCTSL,42,Route 042 - Ghaziabad Corridor,3
R043,GCTSL,43,Route 043 - Ghaziabad Corridor,3
R044,GCTSL,44,Route 044 - Ghaziabad Corridor,3
R045,GCTSL,45,Route 045 - Ghaziabad Corridor,3
R046,GCTSL,46,Route 046 - Ghaziabad Corridor,3
R047,GCTSL,47,Route 047 - Ghaziabad Corridor,3
R048,GCTSL,48,Route 048 - Ghaziabad Corridor,3
R049,GCTSL,49,Route 049 - Ghaziabad Corridor,3
R050,GCTSL,50,Route 050 - Ghaziabad Corridor,3
