shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
R001,28.608563,77.376462,1
R001,28.738393,77.464209,2
R001,28.655081,77.506924,3
R001,28.715349,77.388082,4
R001,28.587448,77.43621,5
R001,28.646244,77.443405,6
R001,28.701234,77.484673,7
R001,28.74715,77.369684,8
R001,28.642472,77.417861,9
R001,28.725101,77.399731,10
R001,28.604238,77.439723,11
R001,28.645939,77.405709,12
R001,28.614965,77.534653,13
R002,28.744419,77.535273,1
R002,28.722765,77.383262,2
R002,28.657415,77.392749,3
R002,28.642187,77.361727,4
R002,28.638215,77.547062,5
R002,28.617737,77.506814,6
R002,28.651902,77.434601,7
R002,28.742317,77.549085,8
R002,28.670038,77.493682,9
R002,28.597863,77.409342,10
R002,28.744368,77.465836,11
R002,28.667595,77.499595,12
R002,28.58029,77.466836,13
R002,28.660513,77.520544,14
R002,28.598338,77.542156,15
R003,28.600805,77.495825,1
R003,28.599412,77.425891,2
R003,28.748114,77.478,3
R003,28.670251,77.486923,4
R003,28.721713,77.5052,5
R003,28.611229,77.35642,6
R003,28.626782,77.403548,7
R003,28.607977,77.538582,8
R003,28.727746,77.412936,9
R003,28.687979,77.429126,10
R003,28.734619,77.44177,11
R003,28.617678,77.399326,12
R003,28.671046,77.402548,13
R004,28.61771,77.524487,1
R004,28.646165,77.39236,2
R004,28.667073,77.495986,3
R004,28.606207,77.412343,4
R004,28.749127,77.479976,5
R004,28.648858,77.453515,6
R004,28.591781,77.394939,7
R004,28.630855,77.467662,8
R004,28.611421,77.394043,9
R004,28.582779,77.476221,10
R004,28.61121,77.531084,11
R004,28.724734,77.364171,12
R004,28.612841,77.483796,13
R005,28.660106,77.38573,1
R005,28.734273,77.524104,2
R005,28.62372,77.47779,3
R005,28.679615,77.380568,4
R005,28.707252,77.457876,5
R005,28.710153,77.456071,6
R005,28.570103,77.414831,7
R005,28.573506,77.53582,8
R005,28.72817,77.516333,9
R005,28.625353,77.361585,10
R005,28.728042,77.53939,11
R005,28.585418,77.447198,12
R006,28.744794,77.522156,1
R006,28.572067,77.494144,2
R006,28.692708,77.457394,3
R006,28.618029,77.478192,4
R006,28.590079,77.436953,5
R006,28.65167,77.540763,6
R006,28.727654,77.402678,7
R006,28.660106,77.38573,8
R006,28.734273,77.524104,9
R006,28.62372,77.47779,10
R006,28.679615,77.380568,11
R006,28.707252,77.457876,12
R006,28.710153,77.456071,13
R006,28.570103,77.414831,14
R007,28.600805,77.495825,1
R007,28.599412,77.425891,2
R007,28.748114,77.478,3
R007,28.670251,77.486923,4
R007,28.721713,77.5052,5
R007,28.611229,77.35642,6
R007,28.626782,77.403548,7
R007,28.607977,77.538582,8
R007,28.727746,77.412936,9
R007,28.687979,77.429126,10
R007,28.734619,77.44177,11
R007,28.617678,77.399326,12
R007,28.671046,77.402548,13
R007,28.675225,77.529565,14
R007,28.641892,77.393864,15
R007,28.749557,77.451905,16
R008,28.707252,77.457876,1
R008,28.710153,77.456071,2
R008,28.570103,77.414831,3
R008,28.573506,77.53582,4
R008,28.72817,77.516333,5
