trip_id,arrival_time,departure_time,stop_id,stop_sequence
R001_T01,06:00:00,06:00:00,S0085,1
R001_T01,06:05:36,06:05:36,S0086,2
R001_T01,06:10:56,06:10:56,S0087,3
R001_T01,06:15:09,06:15:09,S0088,4
R001_T01,06:20:29,06:20:29,S0089,5
R001_T01,06:23:45,06:23:45,S0090,6
R001_T01,06:27:53,06:27:53,S0091,7
R001_T01,06:33:12,06:33:12,S0092,8
R001_T01,06:37:32,06:37:32,S0093,9
R001_T01,06:40:32,06:40:32,S0094,10
R001_T01,06:45:11,06:45:11,S0095,11
R001_T01,06:50:17,06:50:17,S0096,12
R001_T01,06:53:51,06:53:51,S0097,13
R001_T02,07:00:00,07:00:00,S0085,1
R001_T02,07:04:08,07:04:08,S0086,2
R001_T02,07:08:12,07:08:12,S0087,3
R001_T02,07:11:35,07:11:35,S0088,4
R001_T02,07:15:45,07:15:45,S0089,5
R001_T02,07:20:19,07:20:19,S0090,6
R001_T02,07:25:38,07:25:38,S0091,7
R001_T02,07:31:11,07:31:11,S0092,8
R001_T02,07:34:46,07:34:46,S0093,9
R001_T02,07:38:52,07:38:52,S0094,10
R001_T02,07:42:08,07:42:08,S0095,11
R001_T02,07:45:14,07:45:14,S0096,12
R001_T02,07:50:49,07:50:49,S0097,13
R001_T03,08:00:00,08:00:00,S0085,1
R001_T03,08:04:38,08:04:38,S0086,2
R001_T03,08:07:59,08:07:59,S0087,3
R001_T03,08:11:39,08:11:39,S0088,4
R001_T03,08:16:11,08:16:11,S0089,5
R001_T03,08:20:27,08:20:27,S0090,6
R001_T03,08:23:32,08:23:32,S0091,7
R001_T03,08:28:59,08:28:59,S0092,8
R001_T03,08:33:01,08:33:01,S0093,9
R001_T03,08:36:22,08:36:22,S0094,10
R001_T03,08:40:02,08:40:02,S0095,11
R001_T03,08:44:12,08:44:12,S0096,12
R001_T03,08:49:40,08:49:40,S0097,13
R001_T04,09:00:00,09:00:00,S0085,1
R001_T04,09:05:00,09:05:00,S0086,2
R001_T04,09:08:04,09:08:04,S0087,3
R001_T04,09:13:13,09:13:13,S0088,4
R001_T04,09:18:15,09:18:15,S0089,5
R001_T04,09:22:52,09:22:52,S0090,6
R001_T04,09:28:01,09:28:01,S0091,7
R001_T04,09:32:09,09:32:09,S0092,8
R001_T04,09:35:28,09:35:28,S0093,9
R001_T04,09:39:30,09:39:30,S0094,10
R001_T04,09:43:43,09:43:43,S0095,11
R001_T04,09:48:58,09:48:58,S0096,12
R001_T04,09:54:04,09:54:04,S0097,13
R001_T05,10:00:00,10:00:00,S0085,1
R001_T05,10:04:39,10:04:39,S0086,2
R001_T05,10:09:48,10:09:48,S0087,3
R001_T05,10:12:58,10:12:58,S0088,4
R001_T05,10:16:24,10:16:24,S0089,5
R001_T05,10:19:35,10:19:35,S0090,6
R001_T05,10:24:56,10:24:56,S0091,7
R001_T05,10:29:11,10:29:11,S0092,8
R001_T05,10:33:21,10:33:21,S0093,9
R001_T05,10:38:27,10:38:27,S0094,10
R001_T05,10:42:29,10:42:29,S0095,11
R001_T05,10:46:43,10:46:43,S0096,12
R001_T05,10:50:12,10:50:12,S0097,13
R001_T06,11:00:00,11:00:00,S0085,1
R001_T06,11:03:14,11:03:14,S0086,2
R001_T06,11:06:26,11:06:26,S0087,3
R001_T06,11:10:47,11:10:47,S0088,4
R001_T06,11:14:51,11:14:51,S0089,5
R001_T06,11:19:13,11:19:13,S0090,6
R001_T06,11:24:45,11:24:45,S0091,7
R001_T06,11:29:19,11:29:19,S0092,8
R001_T06,11:33:20,11:33:20,S0093,9
R001_T06,11:36:36,11:36:36,S0094,10
R001_T06,11:40:13,11:40:13,S0095,11
R001_T06,11:44:15,11:44:15,S0096,12
R001_T06,11:47:53,11:47:53,S0097,13
R002_T01,06:00:00,06:00:00,S0101,1
R002_T01,06:04:27,06:04:27,S0102,2
R002_T01,06:09:59,06:09:59,S0103,3
R002_T01,06:13:23,06:13:23,S0104,4
R002_T01,06:18:35,06:18:35,S0105,5
R002_T01,06:22:37,06:22:37,S0106,6
R002_T01,06:28:04,06:28:04,S0107,7
R002_T01,06:31:37,06:31:37,S0108,8
R002_T01,06:36:49,06:36:49,S0109,9
R002_T01,06:41:16,06:41:16,S0110,10
R002_T01,06:44:37,06:44:37,S0111,11
R002_T01,06:49:57,06:49:57,S0112,12
R002_T01,06:55:04,06:55:04,S0113,13
R002_T01,07:00:23,07:00:23,S0114,14
R002_T01,07:05:42,07:05:42,S0115,15
R002_T02,07:00:00,07:00:00,S0101,1
R002_T02,07:04:25,07:04:25,S0102,2
R002_T02,07:09:43,07:09:43,S0103,3
R002_T02,07:14:51,07:14:51,S0104,4
R002_T02,07:18:17,07:18:17,S0105,5
R002_T02,07:23:41,07:23:41,S0106,6
R002_T02,07:28:52,07:28:52,S0107,7
