stop_id,stop_name,stop_lat,stop_lon
S0001,Stop 001,28.685097,77.355002
S0002,Stop 002,28.619505,77.394642
S0003,Stop 003,28.702565,77.48534
S0004,Stop 004,28.730592,77.367388
S0005,Stop 005,28.645946,77.355959
S0006,Stop 006,28.609355,77.451071
S0007,Stop 007,28.574776,77.389768
S0008,Stop 008,28.686979,77.458988
S0009,Stop 009,28.609679,77.467853
S0010,Stop 010,28.715697,77.3513
S0011,Stop 011,28.715047,77.489628
S0012,Stop 012,28.631245,77.381096
S0013,Stop 013,28.742298,77.417319
S0014,Stop 014,28.586694,77.369343
S0015,Stop 015,28.722549,77.470745
S0016,Stop 016,28.715283,77.495946
S0017,Stop 017,28.666521,77.544623
S0018,Stop 018,28.638136,77.460408
S0019,Stop 019,28.719293,77.473704
S0020,Stop 020,28.725107,77.46547
S0021,Stop 021,28.696823,77.359165
S0022,Stop 022,28.611022,77.407878
S0023,Stop 023,28.584363,77.396558
S0024,Stop 024,28.58818,77.405595
S0025,Stop 025,28.684423,77.422966
S0026,Stop 026,28.636633,77.391901
S0027,Stop 027,28.618056,77.537331
S0028,Stop 028,28.686646,77.471826
S0029,Stop 029,28.600805,77.495825
S0030,Stop 030,28.599412,77.425891
S0031,Stop 031,28.748114,77.478
S0032,Stop 032,28.670251,77.486923
S0033,Stop 033,28.721713,77.5052
S0034,Stop 034,28.611229,77.35642
S0035,Stop 035,28.626782,77.403548
S0036,Stop 036,28.607977,77.538582
S0037,Stop 037,28.727746,77.412936
S0038,Stop 038,28.687979,77.429126
S0039,Stop 039,28.734619,77.44177
S0040,Stop 040,28.617678,77.399326
S0041,Stop 041,28.671046,77.402548
S0042,Stop 042,28.675225,77.529565
S0043,Stop 043,28.641892,77.393864
S0044,Stop 044,28.749557,77.451905
S0045,Stop 045,28.586364,77.359423
S0046,Stop 046,28.589737,77.475489
S0047,Stop 047,28.712574,77.434432
S0048,Stop 048,28.581435,77.426324
S0049,Stop 049,28.749302,77.455823
S0050,Stop 050,28.744794,77.522156
S0051,Stop 051,28.572067,77.494144
S0052,Stop 052,28.692708,77.457394
S0053,Stop 053,28.618029,77.478192
S0054,Stop 054,28.590079,77.436953
S0055,Stop 055,28.65167,77.540763
S0056,Stop 056,28.727654,77.402678
S0057,Stop 057,28.660106,77.38573
S0058,Stop 058,28.734273,77.524104
S0059,Stop 059,28.62372,77.47779
S0060,Stop 060,28.679615,77.380568
S0061,Stop 061,28.707252,77.457876
S0062,Stop 062,28.710153,77.456071
S0063,Stop 063,28.570103,77.414831
S0064,Stop 064,28.573506,77.53582
S0065,Stop 065,28.72817,77.516333
S0066,Stop 066,28.625353,77.361585
S0067,Stop 067,28.728042,77.53939
S0068,Stop 068,28.585418,77.447198
S0069,Stop 069,28.582458,77.50212
S0070,Stop 070,28.70785,77.375678
S0071,Stop 071,28.655551,77.459961
S0072,Stop 072,28.61771,77.524487
S0073,Stop 073,28.646165,77.39236
S0074,Stop 074,28.667073,77.495986
S0075,Stop 075,28.606207,77.412343
S0076,Stop 076,28.749127,77.479976
S0077,Stop 077,28.648858,77.453515
S0078,Stop 078,28.591781,77.394939
S0079,Stop 079,28.630855,77.467662
S0080,Stop 080,28.611421,77.394043
S0081,Stop 081,28.582779,77.476221
S0082,Stop 082,28.61121,77.531084
S0083,Stop 083,28.724734,77.364171
S0084,Stop 084,28.612841,77.483796
S0085,Stop 085,28.608563,77.376462
S0086,Stop 086,28.738393,77.464209
S0087,Stop 087,28.655081,77.506924
S0088,Stop 088,28.715349,77.388082
S0089,Stop 089,28.587448,77.43621
S0090,Stop 090,28.646244,77.443405
S0091,Stop 091,28.701234,77.484673
S0092,Stop 092,28.74715,77.369684
S0093,Stop 093,28.642472,77.417861
S0094,Stop 094,28.725101,77.399731
S0095,Stop 095,28.604238,77.439723
S0096,Stop 096,28.645939,77.405709
S0097,Stop 097,28.614965,77.534653
S0098,Stop 098,28.649764,77.52227
S0099,Stop 099,28.669059,77.360118
S0100,Stop 100,28.749871,77.517206
S0101,Stop 101,28.744419,77.535273
S0102,Stop 102,28.722765,77.383262
S0103,Stop 103,28.657415,77.392749
S0104,Stop 104,28.642187,77.361727
S0105,Stop 105,28.638215,77.547062
S0106,Stop 106,28.617737,77.506814
S0107,Stop 107,28.651902,77.434601
S0108,Stop 108,28.742317,77.549085
S0109,Stop 109,28.670038,77.493682
S0110,Stop 110,28.597863,77.409342
S0111,Stop 111,28.744368,77.465836
S0112,Stop 112,28.667595,77.499595
S0113,Stop 113,28.58029,77.466836
S0114,Stop 114,28.660513,77.520544
S0115,Stop 115,28.598338,77.542156
S0116,Stop 116,28.58442,77.387165
S0117,Stop 117,28.677106,77.485043
S0118,Stop 118,28.612337,77.373977
S0119,Stop 119,28.730252,77.399243
S0120,Stop 120,28.677013,77.473876
