route_id,service_id,trip_id,trip_headsign
R001,WEEK,R001_T01,Stop 097
R001,WEEK,R001_T02,Stop 097
R001,WEEK,R001_T03,Stop 097
R001,WEEK,R001_T04,Stop 097
R001,WEEK,R001_T05,Stop 097
R001,WEEK,R001_T06,Stop 097
R002,WEEK,R002_T01,Stop 115
R002,WEEK,R002_T02,Stop 115
R002,WEEK,R002_T03,Stop 115
R002,WEEK,R002_T04,Stop 115
R002,WEEK,R002_T05,Stop 115
R002,WEEK,R002_T06,Stop 115
R003,WEEK,R003_T01,Stop 041
R003,WEEK,R003_T02,Stop 041
R003,WEEK,R003_T03,Stop 041
R003,WEEK,R003_T04,Stop 041
R003,WEEK,R003_T05,Stop 041
R003,WEEK,R003_T06,Stop 041
R004,WEEK,R004_T01,Stop 084
R004,WEEK,R004_T02,Stop 084
R004,WEEK,R004_T03,Stop 084
R004,WEEK,R004_T04,Stop 084
R004,WEEK,R004_T05,Stop 084
R004,WEEK,R004_T06,Stop 084
R005,WEEK,R005_T01,Stop 068
R005,WEEK,R005_T02,Stop 068
R005,WEEK,R005_T03,Stop 068
R005,WEEK,R005_T04,Stop 068
R005,WEEK,R005_T05,Stop 068
R005,WEEK,R005_T06,Stop 068
R006,WEEK,R006_T01,Stop 063
R006,WEEK,R006_T02,Stop 063
R006,WEEK,R006_T03,Stop 063
R006,WEEK,R006_T04,Stop 063
R006,WEEK,R006_T05,Stop 063
R006,WEEK,R006_T06,Stop 063
R007,WEEK,R007_T01,Stop 044
R007,WEEK,R007_T02,Stop 044
R007,WEEK,R007_T03,Stop 044
R007,WEEK,R007_T04,Stop 044
R007,WEEK,R007_T05,Stop 044
R007,WEEK,R007_T06,Stop 044
R008,WEEK,R008_T01,Stop 075
R008,WEEK,R008_T02,Stop 075
R008,WEEK,R008_T03,Stop 075
R008,WEEK,R008_T04,Stop 075
R008,WEEK,R008_T05,Stop 075
R008,WEEK,R008_T06,Stop 075
R009,WEEK,R009_T01,Stop 095
R009,WEEK,R009_T02,Stop 095
R009,WEEK,R009_T03,Stop 095
R009,WEEK,R009_T04,Stop 095
R009,WEEK,R009_T05,Stop 095
R009,WEEK,R009_T06,Stop 095
R010,WEEK,R010_T01,Stop 108
R010,WEEK,R010_T02,Stop 108
